id,name
1000001,Greta Gerwig
1000002,Bong Joon-ho
1000003,Daniel Scheinert
1000003,Daniel Kwan
1000004,David Fincher
1000005,Damien Chazelle
1000006,Christopher Nolan
1000007,Christopher Nolan
1000008,Todd Phillips
1000009,Denis Villeneuve
1000010,Quentin Tarantino
1000011,Rodney Rothman
1000011,Peter Ramsey
1000011,Bob Persichetti
1000012,Damien Chazelle
1000013,Matt Reeves
1000014,Jordan Peele
1000015,Rian Johnson
1000016,Ari Aster
1000017,Christopher Nolan
1000018,Christopher Nolan
1000019,Emerald Fennell
1000020,Yorgos Lanthimos
1000021,Joaquim Dos Santos
1000021,Justin K. Thompson
1000021,Kemp Powers
1000022,Peter Weir
1000023,Greta Gerwig
1000024,Wes Anderson
1000025,Martin Scorsese
1000026,Mary Harron
1000027,Jon Watts
1000028,Denis Villeneuve
1000029,Michel Gondry
1000030,Hayao Miyazaki
1000031,Mark Mylod
1000032,David Fincher
1000033,Quentin Tarantino
1000034,Stanley Kubrick
1000035,Darren Aronofsky
1000036,Quentin Tarantino
1000037,Greta Gerwig
1000038,Robert Zemeckis
1000039,David Fincher
1000040,Anthony Russo
1000040,Joe Russo
1000041,Rian Johnson
1000042,Jonathan Demme
1000043,Anthony Russo
1000043,Joe Russo
1000044,Edgar Wright
1000045,Quentin Tarantino
1000046,Francis Ford Coppola
1000047,Quentin Tarantino
1000048,Martin Scorsese
1000049,Luca Guadagnino
1000050,Ari Aster
1000051,David Fincher
1000052,Spike Jonze
1000053,Brad Bird
1000053,Jan Pinkava
1000054,Gil Junger
1000055,Jordan Peele
1000056,Edgar Wright
1000057,Lilly Wachowski
1000057,Lana Wachowski
1000058,Wes Anderson
1000059,Martin Scorsese
1000060,Peter Weir
1000061,Taika Waititi
1000062,James Gunn
1000063,Ryan Coogler
1000064,Denis Villeneuve
1000065,Denis Villeneuve
1000066,Stephen Chbosky
1000067,Peter Jackson
1000068,Frank Darabont
1000069,Celine Song
1000070,Gus Van Sant
1000071,Lee Unkrich
1000071,Adrian Molina
1000072,George Miller
1000073,Adam McKay
1000074,James Cameron
1000075,Luca Guadagnino
1000076,Nicolas Winding Refn
1000077,Richard Kelly
1000078,Marc Webb
1000079,Pete Docter
1000079,Ronnie del Carmen
1000080,Justine Triet
1000081,Pete Docter
1000081,Bob Peterson
1000082,George Lucas
1000083,James Cameron
1000084,James Gunn
1000085,Jon Watts
1000086,Jordan Peele
1000087,Mark Waters
1000088,Joseph Kosinski
1000089,Pete Docter
1000089,Kemp Powers
1000090,Robert Zemeckis
1000091,Martin Scorsese
1000092,Robert Eggers
1000093,Gary Ross
1000094,Hayao Miyazaki
1000095,Jonathan Dayton
1000095,Valerie Faris
1000096,Tim Miller
1000097,Alfonso Cuarón
1000098,Andrew Stanton
1000099,Charlotte Wells
1000100,Taika Waititi
